date,issues
2015-02-07,3
2015-02-08,1
2015-02-09,2
2015-02-10,2
2015-02-11,1
2015-02-13,2
2015-02-16,2
2015-02-17,1
2015-02-18,2
2015-02-23,2
2015-02-25,1
2015-02-26,1
2015-02-27,2
2015-03-02,1
2015-03-05,2
2015-03-12,2
2015-03-16,1
2015-03-19,4
2015-03-20,1
2015-03-21,1
2015-03-22,2
2015-03-23,2
2015-03-24,2
2015-03-25,1
2015-03-26,6
2015-03-27,3
2015-03-28,1
2015-03-31,3
2015-04-02,1
2015-04-03,3
2015-04-04,1
2015-04-06,1
2015-04-07,2
2015-04-08,1
2015-04-09,2
2015-04-10,2
2015-04-12,1
2015-04-13,1
2015-04-14,2
2015-04-15,2
2015-04-17,1
2015-04-18,1
2015-04-20,1
2015-04-21,2
2015-04-22,3
2015-04-23,2
2015-04-24,1
2015-04-28,2
2015-04-29,1
2015-04-30,2
2015-05-04,5
2015-05-05,1
2015-05-06,4
2015-05-07,2
2015-05-08,1
2015-05-09,1
2015-05-10,2
2015-05-11,3
2015-05-12,5
2015-05-13,1
2015-05-15,1
2015-05-16,1
2015-05-17,1
2015-05-19,3
2015-05-20,2
2015-05-21,1
2015-05-22,2
2015-05-23,1
2015-05-25,2
2015-05-26,1
2015-05-28,3
2015-05-29,2
2015-05-30,1
2015-06-02,1
2015-06-03,1
2015-06-04,1
2015-06-05,2
2015-06-06,1
2015-06-09,1
2015-06-10,3
2015-06-11,2
2015-06-15,2
2015-06-18,1
2015-06-19,1
2015-06-20,1
2015-06-22,1
2015-06-23,1
2015-06-24,1
2015-06-25,2
2015-06-26,1
2015-06-28,1
2015-07-01,1
2015-07-02,1
2015-07-03,1
2015-07-04,1
2015-07-07,1
2015-07-09,4
2015-07-10,1
2015-07-13,1
2015-07-14,3
2015-07-17,2
2015-07-21,1
2015-07-22,1
2015-07-23,2
2015-07-26,1
2015-07-28,3
2015-07-29,1
2015-07-30,3
2015-08-03,1
2015-08-05,3
2015-08-06,2
2015-08-07,2
2015-08-09,2
2015-08-10,1
2015-08-12,1
2015-08-13,1
2015-08-16,1
2015-08-17,1
2015-08-18,2
2015-08-19,1
2015-08-21,2
2015-08-23,1
2015-08-25,4
2015-08-26,1
2015-08-27,3
2015-08-28,1
2015-08-31,1
2015-09-01,2
2015-09-06,1
2015-09-07,3
2015-09-09,3
2015-09-10,1
2015-09-11,1
2015-09-13,1
2015-09-14,2
2015-09-15,2
2015-09-17,1
2015-09-18,1
2015-09-20,1
2015-09-21,2
2015-09-24,1
2015-09-26,1
2015-09-29,1
2015-09-30,3
2015-10-01,1
2015-10-02,1
2015-10-04,1
2015-10-06,1
2015-10-07,4
2015-10-08,1
2015-10-09,2
2015-10-12,2
2015-10-13,2
2015-10-15,1
2015-10-16,4
2015-10-19,1
2015-10-20,1
2015-10-22,4
2015-10-23,2
2015-10-24,3
2015-10-25,1
2015-10-28,2
2015-11-02,2
2015-11-04,2
2015-11-05,1
2015-11-06,4
2015-11-08,1
2015-11-10,3
2015-11-11,1
2015-11-12,3
2015-11-13,3
2015-11-16,1
2015-11-17,1
2015-11-18,2
2015-11-20,3
2015-11-23,1
2015-11-24,3
2015-11-25,5
2015-11-27,2
2015-11-28,1
2015-12-01,1
2015-12-02,2
2015-12-03,2
