date,issues
2017-05-19,36
2017-05-20,12
2017-05-21,20
2017-05-22,33
2017-05-23,29
2017-05-24,30
2017-05-25,25
2017-05-26,30
2017-05-27,22
2017-05-28,9
2017-05-29,15
2017-05-30,27
2017-05-31,50
2017-06-01,25
2017-06-02,26
2017-06-03,15
2017-06-04,6
2017-06-05,15
2017-06-06,31
2017-06-07,34
2017-06-08,67
2017-06-09,27
2017-06-10,11
2017-06-11,23
2017-06-12,23
2017-06-13,27
2017-06-14,25
2017-06-15,31
2017-06-16,38
2017-06-17,17
2017-06-18,8
2017-06-19,27
2017-06-20,31
2017-06-21,24
2017-06-22,34
2017-06-23,26
2017-06-24,13
2017-06-25,12
2017-06-26,19
2017-06-27,25
2017-06-28,31
2017-06-29,31
2017-06-30,43
2017-07-01,11
2017-07-02,19
2017-07-03,23
2017-07-04,28
2017-07-05,26
2017-07-06,30
2017-07-07,26
2017-07-08,23
2017-07-09,14
2017-07-10,20
2017-07-11,18
2017-07-12,25
2017-07-13,26
2017-07-14,19
2017-07-15,14
2017-07-16,16
2017-07-17,23
2017-07-18,33
2017-07-19,30
2017-07-20,30
2017-07-21,23
2017-07-22,5
2017-07-23,15
2017-07-24,28
2017-07-25,41
2017-07-26,27
2017-07-27,41
2017-07-28,27
2017-07-29,11
2017-07-30,21
2017-07-31,29
2017-08-01,30
2017-08-02,28
2017-08-03,43
2017-08-04,28
2017-08-05,4
2017-08-06,9
2017-08-07,27
2017-08-08,31
2017-08-09,38
2017-08-10,32
2017-08-11,31
2017-08-12,17
2017-08-13,11
2017-08-14,29
2017-08-15,27
2017-08-16,32
2017-08-17,36
2017-08-18,31
2017-08-19,12
2017-08-20,15
2017-08-21,31
2017-08-22,41
2017-08-23,36
2017-08-24,32
2017-08-25,32
2017-08-26,17
2017-08-27,14
2017-08-28,28
2017-08-29,28
2017-08-30,23
2017-08-31,18
2017-09-01,25
2017-09-02,15
2017-09-03,12
2017-09-04,17
2017-09-05,31
2017-09-06,25
2017-09-07,32
2017-09-08,31
2017-09-09,18
2017-09-10,8
2017-09-11,33
2017-09-12,20
2017-09-13,19
2017-09-14,28
2017-09-15,24
2017-09-16,14
2017-09-17,18
2017-09-18,31
2017-09-19,32
2017-09-20,27
2017-09-21,25
2017-09-22,30
2017-09-23,12
2017-09-24,18
2017-09-25,17
2017-09-26,26
2017-09-27,27
2017-09-28,20
2017-09-29,21
2017-09-30,33
2017-10-01,11
2017-10-02,19
2017-10-03,23
2017-10-04,16
2017-10-05,16
2017-10-06,31
2017-10-07,16
2017-10-08,16
2017-10-09,24
2017-10-10,19
2017-10-11,29
2017-10-12,30
2017-10-13,25
2017-10-14,24
2017-10-15,9
2017-10-16,29
2017-10-17,31
2017-10-18,29
2017-10-19,18
2017-10-20,32
2017-10-21,19
2017-10-22,17
2017-10-23,22
2017-10-24,30
2017-10-25,24
2017-10-26,27
2017-10-27,36
2017-10-28,14
2017-10-29,16
2017-10-30,35
2017-10-31,28
2017-11-01,23
2017-11-02,30
2017-11-03,40
2017-11-04,17
2017-11-05,11
2017-11-06,41
2017-11-07,32
2017-11-08,50
2017-11-09,38
2017-11-10,46
2017-11-11,17
